date,wm_yr_wk,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,OT
2011-01-29 00:00:00,11101,1,1,2011,0,0,0,0,0,0,0,0
2011-01-30 00:00:00,11101,2,1,2011,0,0,0,0,0,0,0,0
2011-01-31 00:00:00,11101,3,1,2011,0,0,0,0,0,0,0,0
2011-02-01 00:00:00,11101,4,2,2011,0,0,0,0,1,1,0,0
2011-02-02 00:00:00,11101,5,2,2011,0,0,0,0,1,0,1,0
2011-02-03 00:00:00,11101,6,2,2011,0,0,0,0,1,1,1,0
2011-02-04 00:00:00,11101,7,2,2011,0,0,0,0,1,0,0,0
2011-02-05 00:00:00,11102,1,2,2011,0,0,0,0,1,1,1,0
2011-02-06 00:00:00,11102,2,2,2011,27,4,0,0,1,1,1,0
2011-02-07 00:00:00,11102,3,2,2011,0,0,0,0,1,1,0,75
2011-02-08 00:00:00,11102,4,2,2011,0,0,0,0,1,0,1,45
2011-02-09 00:00:00,11102,5,2,2011,0,0,0,0,1,1,1,62
2011-02-10 00:00:00,11102,6,2,2011,0,0,0,0,1,0,0,47
2011-02-11 00:00:00,11102,7,2,2011,0,0,0,0,0,1,1,5
2011-02-12 00:00:00,11103,1,2,2011,0,0,0,0,0,1,1,90
2011-02-13 00:00:00,11103,2,2,2011,0,0,0,0,0,1,0,79
2011-02-14 00:00:00,11103,3,2,2011,29,1,0,0,0,0,1,42
2011-02-15 00:00:00,11103,4,2,2011,0,0,0,0,0,1,1,65
2011-02-16 00:00:00,11103,5,2,2011,0,0,0,0,0,0,0,37
2011-02-17 00:00:00,11103,6,2,2011,0,0,0,0,0,0,0,42
2011-02-18 00:00:00,11103,7,2,2011,0,0,0,0,0,0,0,27
2011-02-19 00:00:00,11104,1,2,2011,0,0,0,0,0,0,0,34
2011-02-20 00:00:00,11104,2,2,2011,0,0,0,0,0,0,0,54
2011-02-21 00:00:00,11104,3,2,2011,23,2,0,0,0,0,0,31
2011-02-22 00:00:00,11104,4,2,2011,0,0,0,0,0,0,0,41
2011-02-23 00:00:00,11104,5,2,2011,0,0,0,0,0,0,0,29
2011-02-24 00:00:00,11104,6,2,2011,0,0,0,0,0,0,0,17
2011-02-25 00:00:00,11104,7,2,2011,0,0,0,0,0,0,0,19
2011-02-26 00:00:00,11105,1,2,2011,0,0,0,0,0,0,0,29
2011-02-27 00:00:00,11105,2,2,2011,0,0,0,0,0,0,0,46
2011-02-28 00:00:00,11105,3,2,2011,0,0,0,0,0,0,0,23
2011-03-01 00:00:00,11105,4,3,2011,0,0,0,0,1,1,0,37
2011-03-02 00:00:00,11105,5,3,2011,0,0,0,0,1,0,1,25
2011-03-03 00:00:00,11105,6,3,2011,0,0,0,0,1,1,1,23
2011-03-04 00:00:00,11105,7,3,2011,0,0,0,0,1,0,0,40
2011-03-05 00:00:00,11106,1,3,2011,0,0,0,0,1,1,1,36
2011-03-06 00:00:00,11106,2,3,2011,0,0,0,0,1,1,1,41
2011-03-07 00:00:00,11106,3,3,2011,0,0,0,0,1,1,0,32
2011-03-08 00:00:00,11106,4,3,2011,0,0,0,0,1,0,1,48
2011-03-09 00:00:00,11106,5,3,2011,12,3,0,0,1,1,1,5
2011-03-10 00:00:00,11106,6,3,2011,0,0,0,0,1,0,0,0
2011-03-11 00:00:00,11106,7,3,2011,0,0,0,0,0,1,1,0
2011-03-12 00:00:00,11107,1,3,2011,0,0,0,0,0,1,1,0
2011-03-13 00:00:00,11107,2,3,2011,0,0,0,0,0,1,0,0
2011-03-14 00:00:00,11107,3,3,2011,0,0,0,0,0,0,1,0
2011-03-15 00:00:00,11107,4,3,2011,0,0,0,0,0,1,1,0
2011-03-16 00:00:00,11107,5,3,2011,13,3,0,0,0,0,0,0
2011-03-17 00:00:00,11107,6,3,2011,26,1,0,0,0,0,0,0
2011-03-18 00:00:00,11107,7,3,2011,0,0,0,0,0,0,0,0
2011-03-19 00:00:00,11108,1,3,2011,0,0,0,0,0,0,0,0
2011-03-20 00:00:00,11108,2,3,2011,24,3,0,0,0,0,0,0
2011-03-21 00:00:00,11108,3,3,2011,0,0,0,0,0,0,0,0
2011-03-22 00:00:00,11108,4,3,2011,0,0,0,0,0,0,0,19
2011-03-23 00:00:00,11108,5,3,2011,0,0,0,0,0,0,0,20
2011-03-24 00:00:00,11108,6,3,2011,0,0,0,0,0,0,0,27
2011-03-25 00:00:00,11108,7,3,2011,0,0,0,0,0,0,0,9
2011-03-26 00:00:00,11109,1,3,2011,0,0,0,0,0,0,0,40
2011-03-27 00:00:00,11109,2,3,2011,0,0,0,0,0,0,0,35
2011-03-28 00:00:00,11109,3,3,2011,0,0,0,0,0,0,0,21
2011-03-29 00:00:00,11109,4,3,2011,0,0,0,0,0,0,0,15
2011-03-30 00:00:00,11109,5,3,2011,0,0,0,0,0,0,0,20
2011-03-31 00:00:00,11109,6,3,2011,0,0,0,0,0,0,0,23
2011-04-01 00:00:00,11109,7,4,2011,0,0,0,0,1,1,0,15
2011-04-02 00:00:00,11110,1,4,2011,0,0,0,0,1,0,1,30
2011-04-03 00:00:00,11110,2,4,2011,0,0,0,0,1,1,1,37
2011-04-04 00:00:00,11110,3,4,2011,0,0,0,0,1,0,0,21
2011-04-05 00:00:00,11110,4,4,2011,0,0,0,0,1,1,1,18
2011-04-06 00:00:00,11110,5,4,2011,0,0,0,0,1,1,1,17
2011-04-07 00:00:00,11110,6,4,2011,0,0,0,0,1,1,0,22
2011-04-08 00:00:00,11110,7,4,2011,0,0,0,0,1,0,1,34
2011-04-09 00:00:00,11111,1,4,2011,0,0,0,0,1,1,1,34
2011-04-10 00:00:00,11111,2,4,2011,0,0,0,0,1,0,0,34
2011-04-11 00:00:00,11111,3,4,2011,0,0,0,0,0,1,1,59
2011-04-12 00:00:00,11111,4,4,2011,0,0,0,0,0,1,1,29
2011-04-13 00:00:00,11111,5,4,2011,0,0,0,0,0,1,0,22
2011-04-14 00:00:00,11111,6,4,2011,0,0,0,0,0,0,1,27
2011-04-15 00:00:00,11111,7,4,2011,0,0,0,0,0,1,1,27
2011-04-16 00:00:00,11112,1,4,2011,0,0,0,0,0,0,0,34
2011-04-17 00:00:00,11112,2,4,2011,0,0,0,0,0,0,0,28
2011-04-18 00:00:00,11112,3,4,2011,0,0,0,0,0,0,0,26
2011-04-19 00:00:00,11112,4,4,2011,0,0,0,0,0,0,0,0
2011-04-20 00:00:00,11112,5,4,2011,0,0,0,0,0,0,0,0
2011-04-21 00:00:00,11112,6,4,2011,0,0,0,0,0,0,0,0
2011-04-22 00:00:00,11112,7,4,2011,0,0,0,0,0,0,0,0
2011-04-23 00:00:00,11113,1,4,2011,0,0,0,0,0,0,0,0
2011-04-24 00:00:00,11113,2,4,2011,21,3,2,1,0,0,0,0
2011-04-25 00:00:00,11113,3,4,2011,0,0,0,0,0,0,0,0
2011-04-26 00:00:00,11113,4,4,2011,22,3,0,0,0,0,0,0
2011-04-27 00:00:00,11113,5,4,2011,0,0,0,0,0,0,0,0
2011-04-28 00:00:00,11113,6,4,2011,0,0,0,0,0,0,0,0
2011-04-29 00:00:00,11113,7,4,2011,0,0,0,0,0,0,0,0
2011-04-30 00:00:00,11114,1,4,2011,0,0,0,0,0,0,0,0
2011-05-01 00:00:00,11114,2,5,2011,0,0,0,0,1,1,0,0
2011-05-02 00:00:00,11114,3,5,2011,0,0,0,0,1,0,1,0
2011-05-03 00:00:00,11114,4,5,2011,0,0,0,0,1,1,1,0
2011-05-04 00:00:00,11114,5,5,2011,0,0,0,0,1,0,0,0
2011-05-05 00:00:00,11114,6,5,2011,3,1,0,0,1,1,1,0
2011-05-06 00:00:00,11114,7,5,2011,0,0,0,0,1,1,1,0
2011-05-07 00:00:00,11115,1,5,2011,0,0,0,0,1,1,0,0
2011-05-08 00:00:00,11115,2,5,2011,16,1,0,0,1,0,1,0
2011-05-09 00:00:00,11115,3,5,2011,0,0,0,0,1,1,1,0
2011-05-10 00:00:00,11115,4,5,2011,0,0,0,0,1,0,0,0
2011-05-11 00:00:00,11115,5,5,2011,0,0,0,0,0,1,1,0
2011-05-12 00:00:00,11115,6,5,2011,0,0,0,0,0,1,1,0
2011-05-13 00:00:00,11115,7,5,2011,0,0,0,0,0,1,0,0
2011-05-14 00:00:00,11116,1,5,2011,0,0,0,0,0,0,1,0
2011-05-15 00:00:00,11116,2,5,2011,0,0,0,0,0,1,1,0
2011-05-16 00:00:00,11116,3,5,2011,0,0,0,0,0,0,0,0
2011-05-17 00:00:00,11116,4,5,2011,0,0,0,0,0,0,0,0
2011-05-18 00:00:00,11116,5,5,2011,0,0,0,0,0,0,0,0
